학교 이름,지역,국/공/사,대학교 입학처 링크
서울대학교,서울,국립,https://admission.snu.ac.kr/index.html
가톨릭대학교,서울,사립,https://ipsi.catholic.ac.kr/main.do
강서대학교,서울,사립,https://entrance.gangseo.ac.kr/kcui/mainService
건국대학교,서울,사립,https://enter.konkuk.ac.kr/main.do
경기대학교,서울,사립,https://enter.kyonggi.ac.kr/intro.do
경희대학교,서울,사립,https://iphak.khu.ac.kr/main.do
고려대학교,서울,사립,https://oku.korea.ac.kr/oku/index.do
광운대학교,서울,사립,https://iphak.kw.ac.kr/intro.php
국민대학교,서울,사립,https://admission.kookmin.ac.kr/main.php#firstPage
동국대학교,서울,사립,https://ipsi.dongguk.edu/admission/html/main/main.asp
명지대학교,서울,사립,https://iphak.mju.ac.kr/main/index.php
삼육대학교,서울,사립,https://ipsi.syu.ac.kr/2016_syu/main/main.asp
상명대학교,서울,사립,https://admission.smu.ac.kr/_seoul/main.html#none
서강대학교,서울,사립,https://admission.sogang.ac.kr/enter/html/main/index.asp
서경대학교,서울,사립,https://go.skuniv.ac.kr/
서울과학기술대학교,서울,국립,https://admission.seoultech.ac.kr/index.do
서울시립대학교,서울,공립,https://admission.uos.ac.kr/admissionNew/main.do?identified=anonymous&
서울한영대학교,서울,사립,https://ipsi.shyu.ac.kr/fro_end/html/main/
성공회대학교,서울,사립,https://www.skhu.ac.kr/enter/index.do
성균관대학교,서울,사립,https://admission.skku.edu/admission/html/main/main.html
세종대학교,서울,사립,https://ipsi.sejong.ac.kr/
숭실대학교,서울,사립,https://iphak.ssu.ac.kr/
연세대학교,서울,사립,https://admission.yonsei.ac.kr/seoul/admission/html/main/main.asp
중앙대학교,서울,사립,https://admission.cau.ac.kr/mainIntro/intro.do
총신대학교,서울,사립,https://admission.csu.ac.kr/?m1=home
추계예술대학교,서울,사립,https://enter.chugye.ac.kr/main.do#
한국외국어대학교,서울,사립,https://adms.hufs.ac.kr/index.do
한국체육대학교,서울,사립,https://www.knsu.ac.kr/ipsi/index.do
한성대학교,서울,사립,https://enter.hansung.ac.kr/?m1=home
한양대학교,서울,사립,https://go.hanyang.ac.kr/gate.do
홍익대학교,서울,사립,https://www.hongik.ac.kr/kr/admission/undergraduate-admission.do
서울교육대학교,서울,국립,https://admission.snue.ac.kr/admission/main.do?mi=Y
덕성여자대학교,서울,사립,https://enter.duksung.ac.kr/main.php
동덕여자대학교,서울,사립,https://ipsi.dongduk.ac.kr/ipsi/main/index.do
서울여자대학교,서울,사립,https://admission.swu.ac.kr/main.php
성신여자대학교,서울,사립,https://ipsi.sungshin.ac.kr/main/
숙명여자대학교,서울,사립,https://admission.sookmyung.ac.kr/admission/html/main/main.asp
이화여자대학교,서울,사립,https://admission.ewha.ac.kr/admission/html/main/intro.asp
국제예술대학교,서울,사립,https://kua.ac.kr/enter
백석예술대학교,서울,사립,https://www.bau.ac.kr/admission/index.do
정화예술대학교,서울,사립,https://ipsi.jb.ac.kr/
강남대학교,경기 · 인천 · 인천,사립,https://admission.kangnam.ac.kr/main.htm
단국대학교,경기 · 인천,사립,https://ipsi.dankook.ac.kr/intro.html
대진대학교,경기 · 인천,사립,https://admission.daejin.ac.kr/main.do
루터대학교,경기 · 인천,사립,http://ltu-admission.ac.kr/index_.html
서울신학대학교,경기 · 인천,사립,https://ipsi.stu.ac.kr/
성결대학교,경기 · 인천,사립,https://www.sungkyul.ac.kr/ipsi/index.do
수원대학교,경기 · 인천,사립,https://ipsi.suwon.ac.kr/
화성의과학대학교,경기 · 인천,사립,https://www.hsmu.ac.kr/admission/main/index.do
신한대학교,경기 · 인천,사립,https://ipsi.shinhan.ac.kr/
아주대학교,경기 · 인천,사립,https://www.iajou.ac.kr/main/
안양대학교,경기 · 인천,사립,https://enter.anyang.ac.kr/intro
용인대학교,경기 · 인천,사립,https://ipsi.yongin.ac.kr/index.do
차의과학대학교,경기 · 인천,사립,https://admission.cha.ac.kr/
평택대학교,경기 · 인천,사립,https://entrance.ptu.ac.kr/entrance/index.do#none
한경국립대학교,경기 · 인천,국립,https://ipsi.hknu.ac.kr/
한국공학대학교,경기 · 인천,사립,https://iphak.tukorea.ac.kr/main.html
한국항공대학교,경기 · 인천,사립,https://ibhak.kau.ac.kr/admission/html/main/main.asp
한세대학교,경기 · 인천,사립,https://ipsi.hansei.ac.kr/sites/ipsi/index.do
한신대학교,경기 · 인천,사립,https://ent.hs.ac.kr/ipsi/main/main.asp
협성대학교,경기 · 인천,사립,https://iphak.uhs.ac.kr/intro_ipsi.jsp
칼빈대학교,경기 · 인천,사립,http://www.calvin.ac.kr/iphak/index.do
가천대학교,경기 · 인천,사립,https://admission.gachon.ac.kr/admission/html/main/main.asp
경인교육대학교,경기 · 인천,국립,https://ipsi.ginue.ac.kr/ipsi/Main.do
인천가톨릭대학교,경기 · 인천,사립,https://admission.iccu.ac.kr/default.php
인천대학교,경기 · 인천,국립,https://admission.inu.ac.kr/main.do
인하대학교,경기 · 인천,사립,https://admission.inha.ac.kr/intro.do
가톨릭관동대학교,강원,사립,https://ipsi.cku.ac.kr/sites/iphak/intro/index.html
강릉원주대학교,강원,국립,https://iphak.gwnu.ac.kr/sites/iphak/index.do
강원대학교,강원,국립,https://wwwk.kangwon.ac.kr/intro.html
경동대학교,강원,사립,https://www.kduniv.ac.kr/iphak/Main.do
상지대학교,강원,사립,https://www.sangji.ac.kr/go/index.do
춘천교육대학교,강원,국립,https://enter.cnue.ac.kr/enter/index.do
한라대학교,강원,사립,https://ipsi.halla.ac.kr/main/main.php
한림대학교,강원,사립,https://admission.hallym.ac.kr/
국립한밭대학교,충북 · 충남 · 대전 · 세종,국립,https://www.hanbat.ac.kr/admission/
충남대학교,충북 · 충남 · 대전 · 세종,국립,https://ipsi.cnu.ac.kr/intro.html
건양대학교,충북 · 충남 · 대전 · 세종,사립,https://ipsi.konyang.ac.kr/ipsi.do
대전대학교,충북 · 충남 · 대전 · 세종,사립,https://ipsi.dju.ac.kr/enter/html/main/intro.asp
목원대학교,충북 · 충남 · 대전 · 세종,사립,https://enter.mokwon.ac.kr/enter/
배재대학교,충북 · 충남 · 대전 · 세종,사립,https://www.pcu.ac.kr/enter
우송대학교,충북 · 충남 · 대전 · 세종,사립,https://ent.wsu.ac.kr/main/index.jsp#self
을지대학교,충북 · 충남 · 대전 · 세종,사립,https://admission.eulji.ac.kr/
한남대학교,충북 · 충남 · 대전 · 세종,사립,https://ibsi.hannam.ac.kr/adms5/intro/index.asp
경찰대학,충북 · 충남 · 대전 · 세종,특별법국립,https://www.police.ac.kr/police/police/master/55/boardList.do?mdex=police57
공주교육대학교,충북 · 충남 · 대전 · 세종,국립,https://www.gjue.ac.kr/html/ipsi/index.html
국립공주대학교,충북 · 충남 · 대전 · 세종,국립,https://ipsi.kongju.ac.kr/kor
한국전통문화대학교,충북 · 충남 · 대전 · 세종,특별법국립,https://www.knuh.ac.kr/admission/main.do
금강대학교,충북 · 충남 · 대전 · 세종,사립,https://www.ggu.ac.kr/matriculation
나사렛대학교,충북 · 충남 · 대전 · 세종,사립,https://ipsi.kornu.ac.kr/ipsi/index.do
남서울대학교,충북 · 충남 · 대전 · 세종,사립,https://www.namseoul.net/main.do
백석대학교,충북 · 충남 · 대전 · 세종,사립,https://ipsi.bu.ac.kr/admission/main.jsp
선문대학교,충북 · 충남 · 대전 · 세종,사립,https://ilove.sunmoon.ac.kr/main.do
세한대학교,충북 · 충남 · 대전 · 세종,사립,https://apply.sehan.ac.kr/apply/
순천향대학교,충북 · 충남 · 대전 · 세종,사립,https://ipsi.sch.ac.kr/main.do
유원대학교,충북 · 충남 · 대전 · 세종,사립,https://ipsi.u1.ac.kr/html/ipsi/index.html
중부대학교,충북 · 충남 · 대전 · 세종,사립,https://www.joongbu.ac.kr/index.es?sid=a6
청운대학교,충북 · 충남 · 대전 · 세종,사립,https://home.chungwoon.ac.kr/enter/index.do
